POPNUM12,NUMIND12,STAGE01,STAGE02,STAGE03,STAGE04,STAGE05,STAGE06,STAGE07,STAGE08,STAGE09,STAGE010,STAGE011,STAGE012
243,158,a,a,a,a,a,a,a,a,a,a,a,a
243,159,a,a,a,a,a,a,a,a,a,a,a,a
243,160,a,a,a,a,a,a,a,a,a,a,a,a
243,161,a,a,a,a,a,a,a,a,a,a,a,a
243,162,a,a,a,a,a,a,a,a,a,a,a,a
243,163,a,a,a,a,a,a,a,a,a,a,a,a
243,164,a,a,a,a,a,a,a,a,a,a,a,a
243,165,a,a,a,a,a,a,a,a,a,a,a,a
243,166,a,a,a,a,a,a,a,a,a,a,a,a
243,247,,j,j,j,j,j,j,j,j,j,m,
243,248,,a,a,a,a,a,a,a,a,a,m,
243,354,,a,a,a,a,a,m,,,,,
243,355,,j,j,j,j,j,j,m,,,,
243,356,a,a,a,a,a,a,a,a,a,m,,
243,371,a,a,a,a,a,a,a,a,a,a,a,a
243,390,,,,j,j,a,a,m,,,,
243,391,,,,j,j,j,j,a,a,a,a,a
243,392,,,a,a,a,a,a,a,a,a,a,a
243,393,,,a,a,a,a,a,a,a,a,a,m
243,394,,,,j,j,j,j,a,a,a,a,a
243,395,,,a,a,a,a,a,a,a,a,a,a
243,396,,,,j,a,a,a,a,a,a,a,a
243,442,p,j,j,a,a,a,a,a,a,a,a,a
243,443,p,a,a,a,a,a,a,a,a,a,a,a
243,444,j,j,j,j,j,j,m,,,,,
243,445,a,a,a,a,m,,,,,,,
243,446,a,a,a,a,a,a,a,a,a,a,a,a
243,562,,,,,j,j,m,,,,,
243,563,,,,,p,j,j,m,,,,
243,564,,,,,p,j,j,j,j,a,m,
243,565,,,,,p,m,,,,,,
243,734,,,,,,,,,j,a,m,
243,735,,,,,,,,,j,m,,
243,736,,,,,,,,,j,j,m,
243,737,,,,,,,,,j,m,,
243,738,,,,,,,,,j,j,m,
243,739,,,,,,,,,j,j,m,
243,740,,,,,,,,,j,m,,
243,741,,,,,,,,,j,j,m,
243,742,,,,,,,,,j,j,j,a
243,876,,,,,,,,,,j,m,
243,877,,,,,,,,,,j,m,
243,878,,,,,,,,,,p,m,
243,879,,,,,,,,,,p,m,
243,881,,,,,,,,,,j,m,
243,882,,,,,,,,,,p,m,
243,883,,,,,,,,,,p,j,m
243,1144,,,,,,,,,,,,j
243,1145,,,,,,,,,,,,j
250,167,j,j,j,j,j,a,a,a,a,m,,
250,168,j,j,j,j,j,a,a,a,a,a,a,a
250,169,j,j,j,j,j,a,a,a,a,a,a,a
250,170,a,a,a,a,a,a,a,a,a,a,a,a
250,172,j,p,j,j,j,j,j,j,a,a,a,m
250,173,j,j,j,j,j,a,a,a,a,a,a,a
250,174,j,p,j,j,j,j,j,j,j,m,,
250,175,j,a,a,a,a,a,a,a,a,a,a,a
250,176,a,a,a,a,a,a,a,a,m,,,
250,177,a,a,a,a,a,a,a,a,a,a,,a
250,178,a,a,a,m,,,,,,,,
250,179,a,a,a,a,a,a,a,a,a,a,m,
250,180,j,j,j,j,j,a,a,a,a,m,,
250,181,j,j,j,j,j,j,j,j,j,j,j,j
250,182,j,j,j,j,j,j,j,j,j,j,j,j
250,183,j,j,j,j,j,j,a,a,a,a,a,a
250,184,j,j,j,j,j,m,,,,,,
250,185,a,a,a,a,a,m,,,,,,
250,186,a,a,a,a,a,m,,,,,,
250,187,a,a,a,a,a,a,a,a,a,a,m,
250,188,a,a,a,a,m,,,,,,,
250,189,a,a,a,a,a,a,a,a,a,a,m,
250,190,a,a,a,a,a,a,a,a,a,a,a,a
250,191,a,a,a,a,a,a,a,a,a,a,a,m
250,192,a,a,a,a,a,a,a,a,a,a,a,a
250,193,a,a,a,a,a,m,,,,,,
250,194,a,a,a,a,a,a,a,a,a,a,a,a
250,195,a,a,a,a,a,a,a,a,a,a,a,a
250,196,j,p,p,p,p,j,j,j,j,j,j,j
250,197,j,j,j,j,j,j,j,j,j,a,a,a
250,198,j,p,j,j,j,j,j,m,,,,
250,199,a,a,a,a,a,a,a,a,a,a,a,a
250,200,j,p,p,p,p,j,m,,,,,
250,201,j,j,j,j,j,j,j,j,j,a,a,a
250,202,j,j,j,j,j,a,a,a,a,a,a,a
250,203,a,a,a,a,a,a,a,a,m,,,
250,204,j,j,j,j,j,j,j,j,m,,,
250,205,a,a,a,a,a,a,a,a,a,m,,
250,206,a,a,a,a,m,,,,,,,
250,207,j,p,p,p,m,,,,,,,
250,208,j,j,a,a,a,a,a,a,a,m,,
250,209,a,a,a,a,a,a,a,a,a,a,a,a
250,210,j,j,j,j,j,j,j,a,a,a,a,a
250,211,a,a,a,a,a,a,a,a,a,a,a,a
250,212,a,a,a,a,a,a,a,a,a,a,a,
250,213,j,p,p,j,j,j,m,,,,,
250,214,j,p,j,j,j,j,j,a,a,a,a,a
250,215,j,p,j,j,j,a,a,a,a,a,a,a
250,216,j,p,p,p,p,m,,,,,,
250,217,a,a,a,a,a,a,a,a,a,a,a,a
250,218,j,j,a,a,a,a,a,m,,,,
250,219,j,j,j,j,j,j,j,j,j,m,,
250,220,j,p,j,j,j,j,j,j,j,j,j,a
250,221,a,a,a,a,a,m,,,,,,
250,222,j,j,j,j,j,j,j,j,j,j,j,j
250,223,j,j,j,j,j,m,,,,,,
250,224,j,a,a,a,a,a,a,a,a,m,,
250,225,j,p,j,j,j,j,j,a,m,,,
250,226,j,p,j,j,j,m,,,,,,
250,227,j,p,j,j,j,j,m,,,,,
250,228,j,j,j,j,j,m,,,,,,
250,229,a,a,a,a,a,a,a,a,a,a,a,a
250,397,,,,a,a,a,a,a,a,a,m,
250,398,,,,j,j,m,,,,,,
250,399,,,,j,j,j,a,a,a,a,a,a
250,400,,,,j,j,a,m,,,,,
250,486,a,a,a,a,a,a,a,a,m,,,
250,487,a,a,a,a,a,m,,,,,,
250,488,a,a,a,a,a,a,m,,,,,
250,489,a,a,a,a,a,a,a,a,m,,,
250,490,a,a,a,a,a,a,a,a,m,,,
250,491,a,m,,,,,,,,,,
250,566,,,,,j,m,,,,,,
250,567,,,,,j,a,a,a,a,a,m,
250,568,,,,,j,j,j,j,j,j,j,j
250,569,,,,,j,a,a,a,a,a,a,
250,570,,,,,j,a,a,a,a,a,a,a
250,571,,,,,j,j,a,a,a,a,a,a
250,572,,,,,a,a,a,a,a,a,a,a
250,573,,,,,j,j,j,j,j,a,a,
250,574,,,,,j,a,a,a,a,a,a,a
250,575,,,,,a,a,a,a,a,a,a,a
250,576,,,,,p,j,j,j,j,j,j,j
250,577,,,,,j,j,j,j,j,a,a,
250,578,,,,,p,j,j,j,j,j,j,j
250,579,,,,,j,j,j,a,a,a,a,a
250,580,,,,,p,m,,,,,,
250,581,,,,,p,j,j,j,m,,,
250,582,,,,,p,m,,,,,,
250,583,,,,,j,j,j,j,m,,,
250,584,,,,,p,j,j,j,j,j,j,m
250,586,,,,,p,p,m,,,,,
250,587,,,,,j,j,j,j,j,j,j,j
250,588,,,,,j,j,j,m,,,,
250,589,,,,,j,a,a,a,a,a,a,a
250,590,,,,,j,j,j,j,j,j,j,j
250,591,,,,,p,j,j,j,a,a,m,
250,592,,,,,j,a,a,a,m,,,
250,641,,,,,,j,j,j,a,a,a,a
250,642,,,,,,j,j,j,a,a,a,m
250,643,,,,,,j,j,j,a,a,m,
250,644,,,,,,j,j,j,j,j,j,j
250,645,,,,,,j,m,,,,,
250,646,,,,,,j,j,j,a,a,a,a
250,647,,,,,,p,j,j,j,j,j,j
250,648,,,,,,p,j,a,a,a,a,a
250,649,,,,,,p,j,a,m,,,
250,650,,,,,,p,m,,,,,
250,651,,,,,,j,m,,,,,
250,743,,,,,,,,,j,m,,
250,884,,,,,,,,,,a,a,a
250,885,,,,,,,,,,j,j,j
250,886,,,,,,,,,,j,,
250,887,,,,,,,,,,j,m,
250,1146,,,,,,,,,,,,a
250,1147,,,,,,,,,,,,a
250,1148,,,,,,,,,,,,j
250,1149,,,,,,,,,,,,j
255,58,,,,a,a,a,a,a,m,,,
255,59,,,a,a,a,m,,,,,,
255,60,,,a,a,a,a,a,a,a,a,a,j
255,61,,,j,j,j,m,,,,,,
255,62,,,a,a,a,a,a,a,a,a,a,a
255,63,,,a,a,a,a,a,a,a,a,a,a
255,64,,,j,j,j,j,a,a,a,a,a,a
255,65,,,a,a,a,a,a,a,a,m,,
255,321,,,a,a,a,a,a,a,m,,,
255,324,,,a,a,a,a,a,a,m,,,
255,357,,,a,a,a,a,a,a,a,a,a,m
255,358,j,p,p,j,j,j,j,m,,,,
255,359,,,p,j,j,j,j,a,a,a,a,a
255,360,,,,j,j,m,,,,,,
255,361,,,p,j,j,m,,,,,,
255,362,,,,a,a,m,,,,,,
255,363,,,m,,,,,,,,,
255,364,,,a,a,a,a,a,m,,,,
255,365,,,j,j,j,m,,,,,,
255,366,,,p,p,p,p,j,j,a,a,a,a
255,367,,,p,p,p,p,j,a,a,m,,
255,576,,,,,j,m,,,,,,
255,593,,,,,p,m,,,,,,
255,594,,,,,p,m,,,,,,
255,595,,,,,p,m,,,,,,
255,596,,,,,j,m,,,,,,
255,597,,,,,p,p,j,j,j,j,j,a
255,598,,,,,p,m,,,,,,
255,599,,,,,p,p,j,j,m,,,
255,600,,,,,p,p,j,a,m,,,
255,744,,,,,,,,,a,m,,
255,745,,,,,,,,,a,m,,
255,1150,,,,,,,,,,,,a
255,1151,,,,,,,,,,,,j
255,1152,,,,,,,,,,,,a
255,1153,,,,,,,,,,,,a
255,1154,,,,,,,,,,,,j
255,1155,,,,,,,,,,,,j
255,1156,,,,,,,,,,,,j
266,376,,,,,,,,,,j,j,j
266,377,,,,,,,,,j,j,j,j
266,378,,,,,,,,,a,a,a,a
266,746,,,,,,,,,j,m,,
266,747,,,,,,,,,j,j,j,j
266,749,,,,,,,,,,a,a,a
266,750,,,,,,,,,a,a,a,a
266,751,,,,,,,,,a,a,a,a
266,752,,,,,,,,,a,a,a,m
266,753,,,,,,,,,,j,m,
266,774,,,,,,,,,a,m,,
266,809,,,,,,,,,,a,a,a
266,810,,,,,,,,,,j,j,j
266,811,,,,,,,,,,p,m,
266,813,,,,,,,,,,p,j,j
266,814,,,,,,,,,,p,m,
266,815,,,,,,,,,,j,j,j
266,816,,,,,,,,,,j,a,a
266,817,,,,,,,,,,j,j,j
266,818,,,,,,,,,,j,j,j
266,819,,,,,,,,,,j,m,
266,820,,,,,,,,,,j,j,j
266,821,,,,,,,,,,p,m,
266,822,,,,,,,,,,j,j,m
266,823,,,,,,,,,,j,j,j
266,824,,,,,,,,,,j,j,j
266,825,,,,,,,,,,p,m,
266,826,,,,,,,,,,p,m,
266,827,,,,,,,,,,j,j,j
266,828,,,,,,,,,,p,p,p
266,829,,,,,,,,,,j,m,
266,830,,,,,,,,,,j,j,j
266,831,,,,,,,,,,j,m,
266,832,,,,,,,,,,j,m,
266,833,,,,,,,,,,j,j,j
266,834,,,,,,,,,,j,j,j
266,835,,,,,,,,,,j,j,j
266,836,,,,,,,,,,j,j,j
266,837,,,,,,,,,,j,j,j
266,838,,,,,,,,,,j,m,
266,839,,,,,,,,,,a,a,a
266,840,,,,,,,,,,j,j,j
266,841,,,,,,,,,,a,m,
266,842,,,,,,,,,,j,m,
266,843,,,,,,,,,,j,j,j
266,844,,,,,,,,,,a,a,a
266,845,,,,,,,,,,j,j,j
266,846,,,,,,,,,,p,p,j
266,847,,,,,,,,,,j,j,j
266,848,,,,,,,,,,p,m,
266,849,,,,,,,,,,p,p,j
266,850,,,,,,,,,,j,j,j
266,851,,,,,,,,,,j,j,m
266,852,,,,,,,,,,j,m,
266,853,,,,,,,,,,j,j,j
266,854,,,,,,,,,,,j,j
266,855,,,,,,,,,,p,m,p
266,856,,,,,,,,,,p,m,
266,857,,,,,,,,,,p,p,p
266,858,,,,,,,,,,j,j,j
266,859,,,,,,,,,,j,j,j
266,860,,,,,,,,,,j,j,j
266,861,,,,,,,,,,,m,
266,862,,,,,,,,,,,p,p
266,927,,,,,,,,,,,a,a
266,928,,,,,,,,,,,j,j
266,929,,,,,,,,,,,j,j
266,930,,,,,,,,,,,j,j
266,931,,,,,,,,,,,j,j
266,1177,,,,,,,,,,,,a
266,1178,,,,,,,,,,,,a
266,1179,,,,,,,,,,,,a
266,1180,,,,,,,,,,,,a
266,1181,,,,,,,,,,,,j
266,1182,,,,,,,,,,,,j
266,1183,,,,,,,,,,,,j
266,1184,,,,,,,,,,,,j
266,1185,,,,,,,,,,,,j
266,1186,,,,,,,,,,,,j
266,1187,,,,,,,,,,,,j
266,1188,,,,,,,,,,,,j
266,1189,,,,,,,,,,,,j
266,1190,,,,,,,,,,,,j
266,1191,,,,,,,,,,,,j
266,1192,,,,,,,,,,,,j
266,1193,,,,,,,,,,,,j
266,1194,,,,,,,,,,,,j
266,1195,,,,,,,,,,,,j
266,1196,,,,,,,,,,,,a
266,1197,,,,,,,,,,,,a
266,1198,,,,,,,,,,,,j
266,1199,,,,,,,,,,,,j
266,1200,,,,,,,,,,,,j
266,1201,,,,,,,,,,,,j
266,1202,,,,,,,,,,,,j
266,1203,,,,,,,,,,,,j
266,1204,,,,,,,,,,,,j
266,1205,,,,,,,,,,,,j
268,9,j,j,j,j,j,j,j,j,j,m,,
268,10,j,j,j,j,j,j,j,a,m,,,
268,11,j,j,j,j,j,m,,,,,,
268,12,j,j,a,a,a,a,a,a,m,,,
268,13,j,j,j,j,a,a,a,a,m,,,
268,14,j,a,a,a,a,a,a,a,m,,,
268,15,j,a,a,a,a,a,a,a,a,a,m,
268,16,j,a,a,a,a,a,a,a,a,a,m,
268,17,j,a,a,a,a,a,a,a,a,a,m,
268,18,a,a,a,a,a,a,a,a,m,,,
268,19,p,j,j,j,j,j,j,a,a,m,,
